"bill_length_mm","bill_depth_mm"
46.4,18.6
49.2,18.2
42.4,17.3
48.5,17.5
43.2,16.6
50.6,19.4
46.7,17.9
52,19
50.5,18.4
49.5,19
46.4,17.8
52.8,20
40.9,16.6
54.2,20.8
42.5,16.7
51,18.8
49.7,18.6
47.5,16.8
47.6,18.3
52,20.7
46.9,16.6
53.5,19.9
49,19.5
46.2,17.5
50.9,19.1
45.5,17
50.9,17.9
50.8,18.5
50.1,17.9
49,19.6
51.5,18.7
49.8,17.3
48.1,16.4
51.4,19
45.7,17.3
50.7,19.7
42.5,17.3
52.2,18.8
45.2,16.6
49.3,19.9
50.2,18.8
45.6,19.4
51.9,19.5
46.8,16.5
45.7,17
55.8,19.8
43.5,18.1
49.6,18.2
50.8,19
50.2,18.7
